initialFrame;lastFrame
77;80
81;82
86;87
91;100
247;265
338;339
343;344
348;349
353;355
454;455
697;698
699;700
701;715
837;838
947;955
956;959
960;961
963;964
1070;1071
1158;1159
1160;1163
1164;1167
1278;1279
1382;1383
1384;1385
1389;1390
1394;1395
1505;1506
1666;1667
1671;1672
1676;1678
1682;1683
1755;1756
1770;1771
1826;1828
1831;1833
1861;1874
1917;1918
1920;1921
1924;1926
1961;1962
2000;2013
2104;2115
2216;2217
2277;2284
2287;2288
2343;2346
2347;2353
2438;2439
2441;2452
2453;2454
2558;2560
2564;2565
2574;2578
2651;2652
2722;2728
2729;2739
2857;2858
2993;2994
2998;2999
3003;3005
3080;3081
3229;3233
3234;3235
3236;3237
3337;3338
3443;3444
3448;3449
3599;3601
3603;3605
3614;3615
3619;3620
